epoch,error_2d,error_3d,est_x,est_y,est_z
0,53.852061,57.197082,-3961781.538621,3348953.268437,3698311.796883
1,53.959075,57.194338,-3961781.815233,3348953.347691,3698311.962827
2,47.710490,48.244950,-3961802.475150,3348975.705266,3698314.673490
3,52.802002,53.709872,-3961789.128399,3348959.685716,3698314.138062
4,53.536743,55.264519,-3961785.857384,3348956.684982,3698313.668316
5,53.655941,55.996503,-3961784.069563,3348955.272881,3698312.879963
6,53.594552,56.246579,-3961783.297938,3348954.753899,3698312.371671
7,53.662902,56.469822,-3961782.921518,3348954.406000,3698312.202523
8,53.687698,56.552539,-3961782.752624,3348954.271734,3698312.178618
9,53.399800,56.506463,-3961782.421681,3348954.199478,3698311.383582
10,53.434635,56.643924,-3961782.159772,3348953.984714,3698311.311031
11,53.433691,56.578876,-3961782.252122,3348954.081030,3698311.459255
12,53.538430,56.737374,-3961782.162395,3348953.891697,3698311.415078
13,53.549881,56.774083,-3961782.068113,3348953.829485,3698311.437383
14,53.661840,56.925671,-3961781.960473,3348953.645864,3698311.480063
15,53.671688,56.970979,-3961781.851708,3348953.570816,3698311.478613
16,53.706407,56.826987,-3961782.123427,3348953.805020,3698311.894364
17,53.667208,56.740112,-3961782.186804,3348953.915500,3698311.989836
18,53.737873,56.779216,-3961782.192448,3348953.883611,3698312.159537
19,53.705413,56.749177,-3961782.216235,3348953.918462,3698312.099260
20,53.623077,56.679008,-3961782.242304,3348953.992522,3698311.963875
21,53.740421,56.763925,-3961782.287106,3348953.922879,3698312.117650
22,53.720842,56.684633,-3961782.383006,3348954.036128,3698312.238731
23,53.777641,56.705740,-3961782.429696,3348954.032849,3698312.368494
24,53.799471,56.745303,-3961782.362730,3348953.974778,3698312.390117
25,53.963176,56.992057,-3961782.146054,3348953.662381,3698312.410241
26,54.114084,57.151768,-3961782.059763,3348953.482487,3698312.574178
27,54.345373,57.149163,-3961782.403465,3348953.617338,3698313.294224
28,54.309257,56.887547,-3961782.850255,3348954.040287,3698313.722163
29,54.407545,56.965091,-3961782.876668,3348953.976018,3698313.846066
30,62.343666,62.484751,-3961793.443674,3348957.837504,3698335.270859
31,65.829205,68.090691,-3961801.871123,3348961.830411,3698345.360955
32,56.888083,56.965289,-3961792.685304,3348959.181593,3698322.586822
33,54.962159,55.885031,-3961788.095967,3348957.210398,3698316.981799
34,54.528969,56.093846,-3961785.818983,3348955.939924,3698315.328728
35,62.345133,62.693039,-3961795.273486,3348959.090070,3698336.311470
36,65.783782,68.403376,-3961802.886168,3348962.566472,3698345.927127
37,56.451654,56.530598,-3961792.817602,3348959.606814,3698322.026381
38,54.475144,55.626858,-3961787.391945,3348957.073720,3698315.887450
39,62.335945,62.787475,-3961795.960910,3348959.580117,3698336.718534
40,65.675216,68.406862,-3961803.144151,3348962.860808,3698346.055501
41,56.751231,56.800905,-3961793.151218,3348959.637742,3698322.692296
42,55.035235,55.965742,-3961787.989379,3348957.098967,3698317.111764
43,54.443921,56.163737,-3961785.347214,3348955.670642,3698314.983842
44,54.738598,56.491658,-3961784.762859,3348955.210327,3698315.725040
45,54.819250,56.676238,-3961784.403208,3348954.895134,3698315.662210
46,54.773044,56.717845,-3961784.151453,3348954.754082,3698315.480756
47,54.566150,56.554709,-3961784.059803,3348954.871781,3698315.232293
48,54.503532,56.584461,-3961783.819556,3348954.746702,3698315.018909
49,54.252680,56.396202,-3961783.754499,3348954.887626,3698314.624469
50,54.233199,56.191646,-3961784.161181,3348955.265590,3698315.043309
51,54.267554,56.012720,-3961784.669232,3348955.668788,3698315.568523
52,54.208970,55.904906,-3961784.838778,3348955.839877,3698315.589907
53,54.289579,55.930202,-3961784.984706,3348955.881137,3698315.771798
54,54.105103,55.730404,-3961785.108489,3348956.112211,3698315.580227
55,54.167991,55.750639,-3961785.162887,3348956.133286,3698315.797510
56,54.199055,55.845410,-3961785.023598,3348955.967865,3698315.630531
57,54.293993,55.907234,-3961785.044185,3348955.934618,3698315.855597
58,54.644983,56.151386,-3961785.286303,3348955.823626,3698316.408277
59,54.795060,56.242971,-3961785.398838,3348955.805636,3698316.715256
60,54.831759,56.297743,-3961785.363339,3348955.733618,3698316.673139
61,54.573909,56.290364,-3961784.852201,3348955.464936,3698315.689187
62,54.744859,56.469001,-3961784.681490,3348955.269385,3698315.956781
63,55.423787,56.945531,-3961784.980778,3348955.038417,3698317.167114
64,56.001568,57.597766,-3961785.009549,3348954.375010,3698317.064652
65,56.126477,57.889193,-3961784.761957,3348953.953429,3698316.487986
66,56.055051,58.449017,-3961783.657458,3348952.878643,3698314.545125
67,63.599172,67.775402,-3961782.471005,3348942.871924,3698313.030645
68,57.086594,61.734335,-3961779.731277,3348948.445866,3698310.797392
69,55.353988,60.461817,-3961778.441138,3348949.540707,3698309.773165
70,54.681413,59.960797,-3961778.032501,3348950.038305,3698309.277230
71,54.666070,59.943049,-3961777.884417,3348950.086385,3698309.404010
72,54.816480,59.998721,-3961777.845182,3348950.083182,3698309.788269
73,55.426812,60.413011,-3961778.194640,3348949.792504,3698310.289328
74,55.985467,60.554423,-3961778.908914,3348949.870594,3698311.094902
75,55.839237,60.282494,-3961778.779933,3348950.208594,3698311.535218
76,55.415865,60.062595,-3961777.913223,3348950.333882,3698311.565214
77,55.158940,60.286736,-3961776.952277,3348950.015748,3698310.879648
78,54.964935,60.444012,-3961775.992727,3348949.796474,3698310.703003
79,55.098591,60.514924,-3961775.570651,3348949.762776,3698311.386016
80,54.896671,60.189212,-3961775.355980,3348950.183618,3698311.832506
81,54.601304,59.653344,-3961775.278063,3348950.854352,3698312.432087
82,53.992328,58.983454,-3961775.188476,3348951.673564,3698312.264893
83,53.500751,58.469185,-3961775.116587,3348952.354350,3698312.003929
84,52.792250,57.732087,-3961774.888533,3348953.247490,3698311.811890
85,52.423583,57.168194,-3961774.673976,3348953.962238,3698312.366359
86,52.046652,56.825989,-3961774.269754,3348954.419768,3698312.381734
87,51.728642,56.793991,-3961773.377630,3348954.482701,3698312.196885
88,51.269561,56.238077,-3961773.123979,3348955.218788,3698312.391852
89,51.179555,56.307737,-3961772.406204,3348955.240374,3698312.522800
90,51.200592,56.279602,-3961771.820255,3348955.369373,3698313.214808
91,46.265403,47.298815,-3961781.897148,3348968.724230,3698313.697646
92,45.631643,45.635462,-3961788.852592,3348975.846672,3698315.754734
93,45.912461,46.097676,-3961792.357607,3348979.211161,3698317.105514
94,46.120840,46.464533,-3961793.423596,3348980.635853,3698317.284534
95,46.183997,46.622646,-3961793.503958,3348981.319128,3698317.848860
96,46.098283,46.585321,-3961793.236131,3348981.908821,3698318.188926
97,52.068717,54.175004,-3961775.781236,3348960.831547,3698318.540902
98,52.740110,57.438782,-3961769.137413,3348955.782277,3698316.790379
99,52.948780,59.000042,-3961766.003172,3348953.863373,3698316.229952
100,52.565227,59.320575,-3961764.085266,3348953.516389,3698316.070443
101,52.597616,59.421509,-3961763.402159,3348953.567728,3698316.485594
102,60.126638,67.544417,-3961763.876114,3348945.604760,3698317.765218
103,53.682826,60.487153,-3961762.649675,3348952.907225,3698317.503108
104,47.785257,50.204596,-3961771.351181,3348966.441058,3698317.473170
105,46.297298,46.712758,-3961777.919674,3348974.331700,3698319.123423
106,46.355339,46.364589,-3961781.712143,3348978.282739,3698320.606937
107,50.812891,51.014321,-3961779.977768,3348971.568013,3698322.302175
108,46.924709,46.925234,-3961781.571099,3348978.776688,3698322.260684
109,46.235882,46.290996,-3961782.322435,3348981.092850,3698322.870981
110,46.063965,46.146426,-3961782.325659,3348982.061677,3698322.849694
111,50.695356,50.811441,-3961779.047804,3348973.472193,3698323.452015
112,46.892508,46.897774,-3961779.129911,3348979.249068,3698322.841867
113,46.280979,46.287876,-3961779.610851,3348981.123863,3698323.217049
114,46.436901,46.458221,-3961779.790808,3348981.623831,3698323.620303
115,51.582095,51.864133,-3961776.209428,3348972.008250,3698324.409630
116,54.391063,55.633889,-3961771.908769,3348965.370219,3698324.168182
117,56.185747,58.441120,-3961768.731710,3348961.059240,3698323.906212
118,57.294495,60.392880,-3961766.315625,3348958.252434,3698323.826752
119,57.731701,61.394511,-3961764.594720,3348956.780802,3698323.909809
120,58.373503,62.526590,-3961763.320388,3348955.350664,3698323.950100
121,59.272357,63.959823,-3961762.201890,3348953.677493,3698323.858560
122,49.223414,50.545813,-3961768.301087,3348970.763452,3698323.519283
123,47.603575,48.013115,-3961771.579108,3348975.811188,3698324.460149
124,46.866831,47.036503,-3961772.839110,3348978.060149,3698324.985131
125,45.997585,46.051756,-3961773.660207,3348980.125253,3698325.269475
126,46.529144,46.550659,-3961774.566220,3348980.389244,3698325.465882
127,47.031193,47.035944,-3961775.392362,3348980.627912,3698325.646771
128,47.022522,47.028588,-3961776.548884,3348981.880362,3698325.729953
129,47.492907,47.509121,-3961777.106443,3348981.813297,3698326.037734
130,47.900685,47.916919,-3961777.278247,3348981.463617,3698326.178944
131,53.108992,53.462081,-3961773.634631,3348971.313098,3698326.526385
132,55.638290,57.023731,-3961769.557203,3348964.827017,3698325.792177
133,56.771151,59.141006,-3961766.691725,3348961.216856,3698325.090560
134,57.620642,60.792934,-3961764.758854,3348958.730025,3698324.566561
135,58.806728,62.641139,-3961763.504908,3348956.380469,3698324.245414
136,59.674868,64.036105,-3961762.473059,3348954.637776,3698324.083136
137,55.882779,60.542517,-3961760.106063,3348957.700874,3698323.735478
138,51.880909,54.486862,-3961764.225509,3348965.763355,3698323.494980
139,55.109737,59.257657,-3961760.545352,3348959.319272,3698324.419581
140,55.649313,60.426537,-3961759.127219,3348957.794946,3698324.272217
141,66.795034,70.787887,-3961768.125616,3348950.225391,3698321.694655
142,58.122335,62.480489,-3961761.027730,3348956.384059,3698324.585174
143,56.357356,61.173686,-3961758.523022,3348957.077621,3698325.135495
144,55.682734,61.050983,-3961756.753077,3348956.853008,3698325.090988
145,55.779261,61.764283,-3961755.378708,3348955.929185,3698324.822382
146,55.405779,61.772547,-3961754.503272,3348955.876166,3698324.444339
147,54.637407,60.848101,-3961754.629052,3348956.989894,3698324.245790
148,54.649528,60.678597,-3961755.092809,3348957.406581,3698324.191426
149,54.309711,60.217958,-3961755.073313,3348957.955398,3698324.322657
150,54.272097,59.961653,-3961755.330970,3348958.337635,3698324.533558
151,53.911797,59.460110,-3961755.418632,3348958.973167,3698324.506451
152,53.365902,58.714359,-3961755.451355,3348959.867784,3698324.745394
153,52.492598,57.657260,-3961755.193246,3348960.977620,3698325.099135
154,52.431015,57.455805,-3961755.199946,3348961.274213,3698325.446608
155,52.125325,56.901196,-3961755.511019,3348962.045760,3698325.595044
156,52.309359,57.055739,-3961755.418088,3348961.953208,3698325.847532
157,51.855525,56.465534,-3961755.381475,3348962.670814,3698326.004052
158,48.115916,50.022452,-3961761.494562,3348972.091831,3698325.901448
159,47.458874,48.091820,-3961765.896747,3348976.872663,3698327.052281
160,47.683127,47.877601,-3961768.557082,3348979.149272,3698328.133794
161,47.788369,47.829706,-3961770.167653,3348980.711870,3698329.011703
162,48.170605,48.179668,-3961770.853898,3348981.077386,3698329.771748
163,48.330399,48.333540,-3961770.920361,3348981.185245,3698330.271848
164,48.349428,48.350243,-3961770.917309,3348981.429662,3698330.538009
165,48.060587,48.060686,-3961770.730120,3348981.932955,3698330.609923
166,48.110299,48.111216,-3961770.364550,3348981.794416,3698330.789698
167,47.939072,47.941670,-3961769.785761,3348981.750333,3698331.102831
168,47.735709,47.738541,-3961769.248138,3348981.777901,3698331.629351
169,47.815162,47.819118,-3961768.854837,3348981.556020,3698332.093602
170,47.764672,47.767750,-3961768.595186,3348981.626341,3698332.442250
171,47.696682,47.698432,-3961768.341444,3348981.704634,3698332.882801
172,47.900081,47.904197,-3961767.932670,3348981.254770,3698333.355627
173,47.732272,47.733282,-3961767.792002,3348981.528254,3698333.814441
174,51.894338,53.492771,-3961757.814607,3348968.261017,3698334.651948
175,52.476844,55.339635,-3961753.890389,3348964.729445,3698334.144063
176,52.778945,56.332226,-3961752.121605,3348963.078674,3698333.878181
177,53.943430,58.198031,-3961750.767637,3348960.693161,3698333.779225
178,54.454677,59.354404,-3961749.243268,3348959.021002,3698333.871695
179,54.524568,59.875092,-3961748.157264,3348958.167044,3698333.872623
180,54.841923,60.446699,-3961747.682911,3348957.417301,3698333.889554
181,55.328788,61.226975,-3961746.831953,3348956.319938,3698334.416293
182,55.058820,60.990225,-3961746.249147,3348956.324143,3698335.017305
183,54.743432,60.663505,-3961745.791856,3348956.455254,3698335.549819
184,62.750078,67.295524,-3961754.443668,3348952.179255,3698333.333390
185,55.275259,60.622073,-3961746.940088,3348956.595765,3698336.358234
186,53.736981,59.557735,-3961744.714544,3348957.072429,3698336.941142
187,58.675741,60.314209,-3961758.369440,3348960.888748,3698339.073695
188,65.977003,66.804408,-3961767.072344,3348958.495105,3698337.928360
189,60.610791,61.169935,-3961763.539772,3348962.755880,3698341.674753
190,59.327116,59.837518,-3961762.337269,3348963.594185,3698342.973971
191,59.505672,60.037667,-3961761.977979,3348963.192359,3698343.410909
192,59.878763,60.449766,-3961761.777713,3348962.648427,3698343.571219
193,59.768137,60.315805,-3961761.616682,3348962.778928,3698343.931504
194,59.858415,60.430211,-3961761.260067,3348962.495388,3698344.255602
195,67.688125,68.818588,-3961761.279294,3348952.847707,3698345.831250
196,68.034102,69.582001,-3961759.044602,3348950.887071,3698346.241979
197,60.508376,61.659002,-3961757.400245,3348959.021530,3698345.373397
198,59.030297,59.996524,-3961757.113925,3348960.804799,3698346.020285
199,57.943354,58.740492,-3961756.845910,3348962.140246,3698346.969479
200,56.228693,56.843986,-3961756.637579,3348964.288461,3698347.502173
201,55.766395,56.250412,-3961756.909524,3348965.231268,3698348.051758
202,55.283704,55.689890,-3961756.862673,3348965.954476,3698348.570841
203,55.296860,55.653599,-3961756.772237,3348966.022369,3698349.335802
204,55.305968,55.638466,-3961756.602212,3348966.027119,3698349.889233
205,54.546159,54.819053,-3961756.524246,3348967.073807,3698350.077361
206,54.024308,54.243384,-3961756.397872,3348967.806714,3698350.566985
207,53.958216,54.100333,-3961756.759183,3348968.366814,3698351.312547
208,54.035361,54.114892,-3961757.258463,3348968.856245,3698352.038395
209,53.789537,53.843901,-3961757.092274,3348969.218975,3698352.769457
210,53.320760,53.359341,-3961756.742503,3348969.729958,3698353.341511
211,52.905335,52.934238,-3961756.341165,3348970.133944,3698353.875879
212,52.814017,52.827828,-3961756.440875,3348970.538028,3698354.335270
213,52.867110,52.874031,-3961756.382234,3348970.621303,3698354.937161
214,52.918319,52.922925,-3961756.238720,3348970.637041,3698355.337574
215,52.927873,52.930637,-3961755.935550,3348970.579315,3698355.955672
216,53.362614,53.374723,-3961755.233746,3348969.636679,3698356.517768
217,53.474474,53.485422,-3961755.087973,3348969.589277,3698356.790540
218,53.811075,53.814583,-3961755.133246,3348969.401190,3698357.681187
219,59.966787,60.047716,-3961755.849169,3348962.219663,3698359.063997
220,57.754251,57.782663,-3961755.706548,3348965.158884,3698358.776646
221,56.469818,56.471054,-3961755.619525,3348966.982883,3698359.668257
222,56.849575,56.859133,-3961756.650253,3348967.578629,3698360.441308
223,56.952307,56.968867,-3961756.516561,3348967.547681,3698361.161314
224,57.244405,57.266892,-3961756.546037,3348967.394097,3698361.642605
225,68.645215,68.647690,-3961764.218886,3348959.328179,3698358.969432
226,60.222127,60.228519,-3961757.265564,3348964.479976,3698362.241369
227,58.351556,58.354024,-3961755.377497,3348965.494371,3698362.734267
228,58.436765,58.439300,-3961754.995820,3348965.221072,3698363.343194
229,58.373794,58.380444,-3961754.780708,3348965.270391,3698364.072751
230,58.697162,58.712860,-3961755.012067,3348965.192658,3698364.721282
231,57.898468,57.939527,-3961754.772857,3348966.178894,3698365.517244
232,58.043329,58.081325,-3961754.595690,3348965.992223,3698365.728041
233,58.218545,58.251358,-3961754.363253,3348965.707404,3698365.959821
234,71.397092,71.413139,-3961763.853744,3348956.913897,3698363.003935
235,61.036765,61.047380,-3961755.071167,3348962.878315,3698366.333936
236,53.866427,54.556655,-3961741.228441,3348960.739786,3698366.197952
237,55.979948,56.117570,-3961746.856384,3348962.699445,3698366.533946
238,50.592715,51.909884,-3961736.000177,3348960.964771,3698366.448943
239,49.611217,52.167237,-3961731.561737,3348958.804062,3698365.405296
240,50.083749,52.951584,-3961731.037776,3348957.807865,3698365.077182
241,50.359995,53.327267,-3961730.899163,3348957.368665,3698365.011666
242,50.041598,53.149668,-3961730.230258,3348957.308048,3698365.158069
243,50.589860,53.911071,-3961729.807212,3348956.337647,3698365.244661
244,51.450096,54.740309,-3961729.985917,3348955.469628,3698365.726625
245,45.177806,53.615995,-3961715.954960,3348953.392838,3698365.063671
246,47.413024,51.214454,-3961727.281557,3348958.489219,3698364.739997
247,47.443455,48.997107,-3961733.243420,3348963.462870,3698366.134995
248,47.346456,48.067609,-3961736.108130,3348966.217434,3698367.375543
249,40.093033,42.835355,-3961725.154802,3348966.493321,3698367.142371
250,49.683208,56.223072,-3961719.716176,3348950.656599,3698367.897595
251,51.363900,59.719166,-3961716.854132,3348946.607285,3698367.463705
252,58.696844,62.343866,-3961730.257293,3348947.163892,3698368.913791
253,60.194449,62.592395,-3961733.812188,3348948.210015,3698370.801255
254,55.105984,60.427169,-3961722.753645,3348946.539953,3698370.968662
255,48.336846,51.488121,-3961726.295182,3348957.547552,3698369.398347
256,46.815011,47.991529,-3961731.378484,3348964.135239,3698370.367186
257,46.473342,46.846415,-3961734.437879,3348967.660401,3698371.924521
258,45.603472,45.649268,-3961736.614154,3348971.328054,3698372.905434
259,47.680506,48.182041,-3961744.647997,3348977.098070,3698374.542571
260,45.915197,46.374740,-3961742.338102,3348977.350010,3698376.030817
261,45.947534,46.297286,-3961741.113677,3348976.314222,3698376.821788
262,50.243030,51.789951,-3961726.653072,3348957.360810,3698377.937543
263,55.575212,56.320097,-3961733.225133,3348956.087753,3698377.951751
264,63.788217,64.312870,-3961740.133584,3348951.587730,3698376.212644
265,57.649598,58.021881,-3961735.063355,3348955.516113,3698380.846619
266,57.294491,57.609137,-3961733.878270,3348955.307812,3698383.204548
267,57.967353,58.230178,-3961733.615927,3348954.519003,3698384.984753
268,58.559405,58.774406,-3961733.680387,3348954.041031,3698386.159700
269,59.564337,59.692892,-3961734.136738,3348953.356464,3698388.131891
270,67.713393,68.070325,-3961735.297992,3348944.192401,3698389.859612
271,61.747736,61.918592,-3961733.792491,3348950.490343,3698389.798898
272,60.171471,60.316578,-3961733.251843,3348951.985921,3698389.694119
273,59.630653,59.775113,-3961732.876437,3348952.279847,3698389.834043
274,58.840608,58.957000,-3961732.447138,3348952.833136,3698390.538324
275,57.732938,57.823041,-3961731.807179,3348953.582272,3698391.332104
276,57.735379,57.836348,-3961730.953110,3348952.741729,3698392.639007
277,57.213016,57.271032,-3961730.792679,3348953.060317,3698393.919199
278,56.547244,56.631041,-3961730.238183,3348953.090905,3698393.583141
279,56.491397,56.678907,-3961729.119140,3348951.874021,3698393.228175
280,57.015155,57.360244,-3961728.371561,3348950.166292,3698392.656796
281,56.614661,57.111895,-3961727.144748,3348949.267615,3698392.643178
282,56.182517,56.727060,-3961726.564723,3348948.930874,3698393.001885
283,54.687005,55.196160,-3961725.717279,3348949.767206,3698393.766462
284,53.834747,54.192914,-3961725.999679,3348950.687416,3698394.782511
285,54.507038,54.755622,-3961726.664972,3348950.024800,3698396.382707
286,54.740753,54.957616,-3961726.570639,3348949.379706,3698397.628366
287,55.251022,55.401746,-3961726.774238,3348948.682844,3698399.401081
288,55.429552,55.589432,-3961726.515795,3348947.996554,3698400.065977
289,48.403975,48.926237,-3961733.086918,3348962.091225,3698399.832644
290,46.832042,48.618280,-3961736.936530,3348967.611716,3698400.943045
291,52.577681,52.608951,-3961729.130206,3348953.072677,3698403.047732
292,53.439993,53.605393,-3961724.838082,3348948.446686,3698401.456421
293,55.134427,55.412365,-3961724.161552,3348945.825486,3698402.239999
294,64.444893,65.078042,-3961725.759890,3348935.619854,3698403.685796
295,58.258512,58.546850,-3961724.893941,3348942.561097,3698403.931249
296,57.252937,57.435911,-3961724.977733,3348943.931859,3698404.701130
297,56.898269,56.984420,-3961725.472547,3348944.884576,3698405.789387
298,57.493904,57.541379,-3961726.002267,3348944.680613,3698406.763086
299,57.653228,57.662844,-3961726.680038,3348945.158170,3698407.799550
