extensibility_param_count,extensibility_proxy,mean_blocked_epoch_frac,mean_outlier_rate_pct,mean_p95,mean_rms_2d,parameters,pf_rms_wins,readability_branch_count,readability_loc,readability_proxy,required_features,strategy,style
0,100.000000,0.000000,27.666667,97.751479,80.017369,,5,0,10,85.000000,,always_robust,constant
0,100.000000,1.000000,31.666667,123.345785,95.159328,,2,0,10,85.000000,,always_blocked,constant
1,98.000000,0.625000,28.333333,124.404354,90.910390,disagreement_threshold_m,3,0,17,70.500000,disagreement_m,disagreement_gate,oop-threshold
3,94.000000,0.293333,17.666667,96.484612,73.717966,"disagreement_threshold_m,cb_disagreement_threshold_m,blocked_ceiling",5,2,41,14.500000,"disagreement_m,cb_disagreement_m,mean_weighted_blocked_frac",clock_veto_gate,pipeline-veto
9,114.000000,0.043333,28.333333,97.751479,80.124018,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m",4,9,73,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual",dual_mode_regime_gate,regime-branch
11,110.000000,0.023333,27.666667,97.751479,79.811732,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m",5,1,78,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",quality_veto_regime_gate,regime-quality-veto
13,122.000000,0.038333,27.666667,97.751479,79.766035,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_epochs,exit_confirm_epochs",4,6,94,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",hysteresis_quality_veto_regime_gate,stateful-hysteresis
14,128.000000,0.030000,27.666667,97.751479,79.633248,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_epochs",5,9,97,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
15,134.000000,0.030000,27.666667,97.751479,79.545107,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_close_epochs,exit_confirm_far_epochs",5,9,110,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
18,152.000000,0.028333,27.666667,97.751479,79.525547,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_close_epochs,exit_confirm_far_epochs,close_rescue_satellite_max,close_rescue_p95_abs_residual_max_m,close_rescue_cb_min_m",5,12,126,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
22,176.000000,0.025000,27.666667,97.751479,79.472460,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_close_epochs,exit_confirm_far_epochs,close_rescue_satellite_max,close_rescue_p95_abs_residual_max_m,close_rescue_cb_min_m,negative_exit_disagreement_min_m,negative_exit_cb_min_m,negative_exit_p95_abs_residual_min_m,negative_exit_hits_required",5,16,148,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
23,182.000000,0.020000,27.666667,97.751479,79.406243,"close_blocked_low,close_blocked_high,close_disagreement_max_m,close_cb_max_m,close_residual_max_m,close_satellite_max,close_p95_abs_residual_max_m,far_blocked_max,far_positive_min,far_disagreement_min_m,far_cb_min_m,enter_confirm_close_epochs,enter_confirm_far_epochs,exit_confirm_close_epochs,exit_confirm_far_epochs,close_rescue_satellite_max,close_rescue_p95_abs_residual_max_m,close_rescue_cb_min_m,close_entry_p95_abs_residual_max_m,negative_exit_disagreement_min_m,negative_exit_cb_min_m,negative_exit_p95_abs_residual_min_m,negative_exit_hits_required",5,17,154,0.000000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m,cb_disagreement_m,robust_mean_abs_residual,robust_p95_abs_residual,satellite_count",entry_veto_negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-entry-veto-rescue-negative-exit
3,94.000000,0.096667,30.000000,109.227319,83.144442,"blocked_threshold,positive_threshold,disagreement_threshold_m",3,3,39,11.500000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m",rule_chain_gate,pipeline-rule-chain
4,100.000000,0.305000,36.500000,118.883127,90.060037,"blocked_scale,positive_scale,disagreement_scale_m,threshold",4,0,35,35.500000,"mean_weighted_blocked_frac,blocked_positive_frac_gt5,disagreement_m",weighted_score_gate,functional-score
